gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atp7a	0.434371672533955	0.263285742589649	1	0.25	0.259	0.00900000000000001
P4ha1	0.435263324684213	0.517597952982608	1	0.241	0.235	0.00600000000000001
Srpk2	0.436201757223179	-1.00860852609163	1	0.062	0.111	0.049
Plcb2	0.436288414038205	-0.289675495633254	1	0.089	0.136	0.047
Rab14	0.436489442422016	0.544295901757047	1	0.384	0.296	0.088
Rab8b	0.437264177208368	0.515024381094767	1	0.464	0.37	0.094
Ctps2	0.437925234832596	0.5917184766916	1	0.125	0.123	0.002
Riok3	0.43812590006495	-0.766006186744988	1	0.071	0.111	0.04
Bco2	0.438627411859291	1.32162232819291	1	0.125	0.062	0.063
Arsb	0.439838740876893	0.395887554649504	1	0.366	0.346	0.02
Paxbp1	0.440256242153459	-0.990624988380924	1	0.062	0.123	0.061
Kpna3	0.440659986244977	-0.881649325626075	1	0.098	0.148	0.05
Nap1l4	0.441010494559777	0.343094373469753	1	0.107	0.111	0.004
Med13	0.441203563892667	0.313698342927196	1	0.179	0.198	0.019
Tm9sf2	0.441452761480037	0.707484336994614	1	0.205	0.136	0.069
Pik3cg	0.441573484092713	-0.50376267485647	1	0.188	0.222	0.034
Map4k4	0.441770750237308	0.312743850584456	1	0.455	0.42	0.035
Tlk1	0.442570522728572	0.689318039389044	1	0.259	0.21	0.049
Arhgef11	0.442701608753631	-0.750610078064323	1	0.062	0.123	0.061
Myo1b	0.44398776360346	-1.01782379831269	1	0.045	0.111	0.066
Gnas	0.444238148712952	0.928585534865973	1	0.161	0.111	0.05
Epb41l2	0.44432647699006	0.28817685355138	1	0.902	0.84	0.0620000000000001
Enox2	0.444527773003798	-0.48329135788749	1	0.232	0.309	0.077
Bach2	0.445756442527427	0.473884530795163	1	0.348	0.309	0.039
Ube4b	0.446095750880126	-0.586924004195096	1	0.098	0.148	0.05
Zfp407	0.446378572326613	0.132367422472695	1	0.348	0.395	0.047
Sp4	0.446579011482089	0.435208965949864	1	0.116	0.099	0.017
Brk1	0.446667844176461	0.217419590394944	1	0.107	0.111	0.004
Xrcc4	0.447427772204576	-0.559360226777279	1	0.098	0.148	0.05
Lpcat1	0.447528067432771	1.19894107463938	1	0.107	0.062	0.045
Etv6	0.449003614784917	-0.202710511493038	1	0.634	0.716	0.082
Sil1	0.449111808720719	0.497459675659748	1	0.196	0.173	0.023
Gatad2b	0.449228406252286	0.530865361524912	1	0.25	0.185	0.065
Myo9b	0.449351536983311	-0.263881206470197	1	0.205	0.272	0.067
Lrrk1	0.449677814609245	-0.103993141956719	1	0.375	0.432	0.057
Hivep3	0.449678169518557	-0.358287495793177	1	0.455	0.556	0.101
Zfp654	0.450881050466631	0.20254766790739	1	0.152	0.148	0.004
Taok1	0.451037619151058	-0.122600133453509	1	0.295	0.321	0.026
Dpy19l4	0.451298934610779	0.226020846590257	1	0.268	0.284	0.016
Marf1	0.45195131717698	-0.726974102808456	1	0.152	0.235	0.083
Rtcb	0.451978662036126	-0.708122760738846	1	0.08	0.123	0.043
Trim5	0.453175348038975	0.331749132112465	1	0.107	0.111	0.004
Cwf19l2	0.45379950256652	-0.574689623956767	1	0.107	0.173	0.066
Inpp5d	0.453989127592883	0.146116490101655	1	0.839	0.889	0.05
Slc36a1	0.454471452586859	-0.130958394449961	1	0.143	0.173	0.03
Ppp3cb	0.454788014751034	-1.39962121489708	1	0.062	0.148	0.086
Slc25a37	0.456032161279243	0.918985092357581	1	0.125	0.062	0.063
Snrnp48	0.456332469430875	-0.746445301399297	1	0.089	0.136	0.047
Soga1	0.456523479760843	0.124726375519873	1	0.375	0.407	0.032
Arcn1	0.456701512290373	0.2384263941121	1	0.107	0.111	0.004
Arhgef6	0.456997482829566	0.381060593922689	1	0.214	0.198	0.016
Glud1	0.457469875175444	0.908825075675419	1	0.125	0.099	0.026
Tox4	0.458267689795755	-0.133334936501493	1	0.098	0.123	0.025
Ppp4r2	0.458855527661584	0.599437968545659	1	0.214	0.148	0.066
