gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Tcf12	1.22101840675002e-23	-0.119600600753978	2.18782078121468e-19	0.814	0.816	0.002
Pakap	1.37200434022271e-23	-0.10780963039136	2.45835737681105e-19	0.649	0.655	0.00600000000000001
Rps7	1.38097294847684e-23	-0.232054426658981	2.4744273290808e-19	0.193	0.207	0.014
Ipo8	1.42690024054708e-23	0.116672693415665	2.55671985101227e-19	0.347	0.308	0.039
Kcnc3	1.47546510597647e-23	0.174198921903107	2.64373837688864e-19	0.277	0.235	0.042
Plcxd2	1.53943901739327e-23	0.494947942683729	2.75836683136526e-19	0.171	0.132	0.039
Rpl3	1.59561948443665e-23	-0.271105225112658	2.85903099221358e-19	0.157	0.176	0.019
Inpp4a	1.62509265841317e-23	0.114025916999755	2.91184102534471e-19	0.556	0.511	0.045
Lpin2	1.67541820164514e-23	0.159301026870764	3.00201433370776e-19	0.434	0.385	0.049
Srr	1.8892278176502e-23	0.147755296388726	3.38511840366563e-19	0.362	0.318	0.044
Ski	1.93018219961864e-23	0.18877482914121	3.45850046527668e-19	0.442	0.391	0.051
Lemd3	1.97600656391094e-23	0.203354307547321	3.54060856121562e-19	0.345	0.298	0.047
Cttnbp2	2.54038805367819e-23	-0.107231516289512	4.55186731458057e-19	0.976	0.977	0.001
Desi1	2.57741179936409e-23	0.185648283365811	4.61820646210057e-19	0.35	0.302	0.048
Coq10b	2.69622007958107e-23	0.346016924334496	4.83108713859336e-19	0.206	0.163	0.043
Scd2	2.75320213995278e-23	0.109156929217818	4.93318759436739e-19	0.241	0.21	0.031
Rnf165	3.31848201704501e-23	0.123973164550739	5.94605607814125e-19	0.453	0.408	0.045
Rnf14	3.79392300980868e-23	0.159141424175145	6.79795124897519e-19	0.384	0.337	0.047
Rps3a1	4.12169021120473e-23	-0.301368298194995	7.38524452043663e-19	0.155	0.178	0.023
Fam81a	4.12715624222799e-23	0.165983081300894	7.39503855482412e-19	0.421	0.371	0.05
Arntl	4.42859176002423e-23	0.113255149456374	7.93515071561142e-19	0.501	0.456	0.045
Gdpd1	6.05871684431224e-23	0.153885575222878	1.08560088416387e-18	0.349	0.305	0.044
Kdm6b	6.2427992215755e-23	0.504320319111442	1.1185847645219e-18	0.118	0.084	0.034
Zfp664	6.29919392304395e-23	0.223474693981593	1.12868956713102e-18	0.33	0.282	0.048
Mgat4c	6.65111682154137e-23	-0.170085010151321	1.19174711208378e-18	0.652	0.706	0.0539999999999999
Abcb7	7.76868079601018e-23	0.363055748220912	1.3919922250291e-18	0.222	0.178	0.044
Srsf7	8.82592179105312e-23	0.142487270660123	1.5814286665209e-18	0.481	0.436	0.045
Chp1	8.94812074179862e-23	0.167217279979797	1.60332427451548e-18	0.325	0.281	0.044
Rabgap1l	1.04722395787238e-22	-0.100998666606222	1.87641588771573e-18	0.967	0.966	0.001
Swt1	1.05894659511029e-22	0.171786833123993	1.89742050911862e-18	0.293	0.253	0.04
Pip5k1c	1.06517631229285e-22	0.221803902901843	1.90858291636633e-18	0.354	0.305	0.049
Faah	1.07691458023314e-22	0.121936767992998	1.92961554486174e-18	0.454	0.409	0.045
Efr3b	1.28359466040281e-22	0.108683305626351	2.29994491250975e-18	0.577	0.529	0.0479999999999999
Xrcc6	1.32732346805582e-22	0.190388311682866	2.37829819006242e-18	0.318	0.274	0.044
Jak2	1.35040987209741e-22	0.197446570960615	2.41966440882414e-18	0.371	0.324	0.047
Mmd	1.53746400400999e-22	0.164435223156145	2.7548280023851e-18	0.36	0.315	0.045
Sema3a	1.64130924139289e-22	0.185822255451969	2.94089789872777e-18	0.298	0.253	0.045
Mbd5	1.85016435415677e-22	-0.109347594834398	3.3151244897781e-18	0.959	0.957	0.002
Tut7	1.97893720252519e-22	0.122221202081923	3.54585967948464e-18	0.352	0.312	0.04
Syt4	2.02302151521611e-22	0.16577855617556	3.62484995096423e-18	0.347	0.301	0.046
Ppfia1	2.12090568379577e-22	0.167469051125278	3.80023880422526e-18	0.367	0.323	0.044
Trabd2b	2.34223042820293e-22	0.430236309335966	4.19680848125401e-18	0.199	0.154	0.045
Ube3a	2.35436884305546e-22	-0.154359405150391	4.21855809298677e-18	0.93	0.922	0.00800000000000001
Slc7a14	2.41470407448356e-22	0.132625955583102	4.32666676065964e-18	0.504	0.454	0.05
Xkr4	2.55133872626701e-22	-0.115353320105474	4.57148872972522e-18	0.991	0.994	0.003
Lrrc8b	2.57100083243084e-22	0.118468630265334	4.60671929154957e-18	0.447	0.401	0.046
Lmo7	2.61815222953097e-22	-0.150191818502666	4.69120516487359e-18	0.499	0.511	0.012
Sh3glb1	2.62507174348865e-22	0.14493432995362	4.70360354998297e-18	0.384	0.34	0.044
Pxk	2.75923446151139e-22	0.180218571026533	4.94399630813611e-18	0.349	0.304	0.045
Nipa1	2.96439957484844e-22	0.10449631036704	5.31161115821343e-18	0.451	0.409	0.042
Rap1gap	3.02913472004668e-22	0.128285002389098	5.42760359137964e-18	0.411	0.366	0.045
Atg3	3.23048553254945e-22	0.231105877683533	5.7883839772221e-18	0.286	0.243	0.043
Rspry1	3.35498767141107e-22	0.156691943106819	6.01146690963435e-18	0.375	0.332	0.043
Rbbp4	3.42794351432882e-22	0.100186171150496	6.14218918897438e-18	0.353	0.315	0.038
Dennd1a	3.75733090603175e-22	-0.107537730867135	6.73238551742769e-18	0.95	0.952	0.002
Yaf2	3.90320387642507e-22	0.150524718521713	6.99376070577844e-18	0.368	0.324	0.044
Rpl24	4.3519385477444e-22	-0.20109811138297	7.79780348984842e-18	0.201	0.214	0.013
Smarca2	4.909626711722e-22	0.112943013835923	8.79706914206348e-18	0.662	0.614	0.048
Rab15	4.93101389259373e-22	0.214908657827656	8.83539069274944e-18	0.325	0.278	0.047
Slc2a13	4.9961351444245e-22	0.176098568392993	8.95207495177981e-18	0.832	0.806	0.0259999999999999
Hcfc2	5.44321025301931e-22	0.209449665437543	9.75314413136e-18	0.292	0.248	0.044
Esco1	5.61235386544875e-22	0.154603965046686	1.00562156561111e-17	0.417	0.372	0.045
Htr1f	5.75687922682464e-22	0.171832240714468	1.03151761986244e-17	0.549	0.494	0.055
Usp37	6.2575451225208e-22	0.144920897638786	1.12122693505328e-17	0.383	0.34	0.043
Stx6	6.50829698960366e-22	0.173242401327959	1.16615665459718e-17	0.4	0.353	0.047
Bmt2	6.7159148243541e-22	0.113217270246887	1.20335761822777e-17	0.482	0.439	0.043
Son	6.89201027198185e-22	-0.107631969021552	1.23491040053371e-17	0.88	0.879	0.001
Fam78b	8.71040133235772e-22	0.164445974503743	1.56072971073186e-17	0.369	0.325	0.044
Pdlim7	8.85200076939246e-22	0.135066088580024	1.58610149785974e-17	0.389	0.344	0.045
Rad23b	9.74300341460855e-22	0.109496340412231	1.74575135182956e-17	0.411	0.37	0.041
Rheb	1.00252955433399e-21	0.25149938423672	1.79633245545564e-17	0.363	0.316	0.047
Aifm1	1.08760905837027e-21	0.183913011982598	1.94877791078786e-17	0.232	0.197	0.035
Rpl19	1.1367155421255e-21	-0.161791417395095	2.03676690838048e-17	0.178	0.185	0.00700000000000001
Ptp4a2	1.14276700757841e-21	0.170944543058432	2.047609924179e-17	0.371	0.326	0.045
Mfap3	1.14733797897525e-21	0.252539396764299	2.05580019072785e-17	0.264	0.221	0.043
Fscn1	1.21333813831501e-21	0.324842103204894	2.17405927623284e-17	0.183	0.144	0.039
Epg5	1.26248718265371e-21	0.143392495643227	2.26212453387891e-17	0.338	0.299	0.039
Pip4k2a	1.2957094997142e-21	0.109783392585548	2.3216522815879e-17	0.461	0.418	0.043
Rpl13a	1.33057064413595e-21	-0.126127296339468	2.38411648016279e-17	0.187	0.187	0
Cacna1i	1.36306704984079e-21	0.216941886075452	2.44234353990473e-17	0.329	0.283	0.046
Fyttd1	1.4193484660027e-21	0.103120295213777	2.54318858138363e-17	0.429	0.389	0.04
Iqgap2	1.45946816405947e-21	0.267922808451188	2.61507505636176e-17	0.357	0.311	0.046
Dcun1d5	1.49435763836938e-21	0.199074289695003	2.67759001643025e-17	0.301	0.259	0.042
Tmem121b	1.49579721676774e-21	0.345278329308305	2.68016945300444e-17	0.164	0.127	0.037
Fntb	1.69991827976449e-21	0.154570763052469	3.04591357368201e-17	0.348	0.305	0.043
Npas4	1.73236576049129e-21	-0.637048246420494	3.10405296964829e-17	0.112	0.144	0.032
Numbl	1.76801989488088e-21	0.313544706711396	3.16793804764755e-17	0.228	0.185	0.043
Hunk	1.81842793737242e-21	-0.269652069097741	3.2582591781839e-17	0.253	0.283	0.03
Septin3	2.00751903783324e-21	0.166001778604135	3.59707261198961e-17	0.407	0.36	0.047
