gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Arrb2	0.824838023110264	0.232235790610567	1	0.219	0.2	0.019
Bltp1	0.825463039804782	0.421559908155146	1	0.096	0.1	0.004
Dlg1	0.825480209502204	-0.225678003993247	1	0.089	0.12	0.031
Rtn4rl1	0.827630611232009	0.132131118670913	1	0.341	0.33	0.011
Zcchc7	0.829504537386257	-0.26891462162403	1	0.556	0.57	0.0139999999999999
Pcm1	0.829743291176735	-0.124105027223261	1	0.174	0.18	0.00600000000000001
Copg2	0.829783171287673	0.445165372686295	1	0.2	0.16	0.04
Sema4d	0.829829253047703	0.167816731306826	1	0.226	0.18	0.046
Rbpj	0.829879020270201	0.19113637742559	1	0.348	0.32	0.028
Add3	0.829970959466446	-0.337526441227785	1	0.085	0.11	0.025
Rftn1	0.83036187090074	0.725325748092534	1	0.196	0.16	0.036
Cyth1	0.830401927793893	0.170381354545727	1	0.141	0.13	0.011
Csnk2a1	0.830781042636097	-0.106224684535186	1	0.144	0.14	0.00399999999999998
Laptm5	0.832174549637787	-0.192796493261235	1	0.252	0.29	0.038
Tent4b	0.834110439653331	0.202814063415719	1	0.126	0.11	0.016
Srek1	0.835610811239423	-0.482611283320723	1	0.081	0.12	0.039
Upf2	0.839018358964417	0.313967902502941	1	0.115	0.1	0.015
Slc35a3	0.839555370957442	0.416894318887414	1	0.111	0.09	0.021
Rnase4	0.841148050357839	-0.919577266080496	1	0.085	0.13	0.045
Ap1s2	0.841994658747501	0.102778214442226	1	0.104	0.1	0.00399999999999999
Gpr183	0.842098723235414	0.345255747522593	1	0.148	0.13	0.018
Ube3a	0.843388165582184	0.174463157299477	1	0.144	0.16	0.016
Elk4	0.843496911827972	-0.365439501608237	1	0.104	0.12	0.016
Smo	0.844670735560352	-0.132905227195049	1	0.096	0.1	0.004
Zfp407	0.844751226745331	-0.151003062955185	1	0.356	0.38	0.024
Ern1	0.845324331347051	0.459818763613654	1	0.126	0.1	0.026
Usp32	0.846150706307478	-0.360068652675573	1	0.093	0.11	0.017
Oxct1	0.850017021692529	0.57961075317109	1	0.167	0.13	0.037
Chsy1	0.850095111322465	0.513153315222642	1	0.189	0.14	0.049
Mia2	0.850235281905961	-0.266211789852212	1	0.259	0.31	0.051
Zfp787	0.85077977439322	-0.562882950886903	1	0.078	0.12	0.042
Cradd	0.851065085323866	0.222364627554817	1	0.293	0.25	0.043
Cd63	0.851992565883294	-0.129783709275006	1	0.107	0.11	0.003
Psmd1	0.853833851060206	-1.15372171102519	1	0.063	0.13	0.067
R3hcc1l	0.854514136465031	0.225003902865667	1	0.204	0.16	0.044
Sap130	0.854936300091347	-0.428840103425707	1	0.104	0.13	0.026
Fez2	0.855616393666927	-0.335211839808772	1	0.133	0.15	0.017
Sh3glb1	0.856823187507409	0.251789001393338	1	0.289	0.22	0.069
Ube2d3	0.857280628881213	0.397826828287822	1	0.215	0.15	0.065
