gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Smad9	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Plch1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Rarres1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
1110032F04Rik	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Glt28d2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Nes	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Lenep	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Lor	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
H2bc18	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Ankrd34a	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Gstm2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Celsr2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Henmt1	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Slc25a54	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Prss12	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tmem215	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Pax5	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Acnat1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Frem1	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Pramel17	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Skint11	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tspan1	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Guca2a	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Cited4	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Themis2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Grhl3	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Iffo2	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tmem82	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
6330411D24Rik	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
H6pd	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Uts2	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Megf6	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Crygn	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Galntl5	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Trim54	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Sh3tc1	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
