gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Mapkapk2	0.0650806520405391	2.34237399854896	1	0.833	0.25	0.583
H2-D1	0.0652730457547677	3.19062914026685	1	1	0	1
Prkcb	0.0657663430027681	0.941266313997974	1	1	1	0
Nlrc5	0.0660387266169892	2.87754182450259	1	1	0.25	0.75
Tasor2	0.0662490174282654	2.30803519761637	1	0.833	0.25	0.583
Socs5	0.0662541986949871	-3.04669869018803	1	0.333	1	0.667
Fgf13	0.0664289011510525	1.33662997125289	1	1	1	0
F11r	0.0667213253522376	-1.46454385571397	1	0.667	1	0.333
Dnm1l	0.067085208839048	-3.17303271023646	1	0.333	0.75	0.417
Myo1e	0.0672752222556249	0.526504631285393	1	1	1	0
Dnmt3a	0.0683011152792983	0.728460193967569	1	0.833	1	0.167
Cyp20a1	0.0684491935808573	-3.21114090118516	1	0.167	0.75	0.583
Furin	0.0684491935808573	-3.21114090118516	1	0.167	0.75	0.583
Psip1	0.0688486982631267	-2.89218638522092	1	0.5	0.5	0
Ddx46	0.0689246511244883	-1.60337733594462	1	0.667	0.75	0.083
Zyg11b	0.0691932355782812	-1.40434675742574	1	0.833	0.75	0.083
Arid4a	0.0692677988800271	1.17558245912593	1	1	0.5	0.5
Arhgap25	0.0695266621451038	1.77920417985376	1	1	0.75	0.25
Snx2	0.0698803940687584	-1.41176851928617	1	0.833	1	0.167
Znfx1	0.0699355178952838	2.55802524587762	1	0.833	0	0.833
Il1rl2	0.0702462683492937	-2.14440973594976	1	0.5	1	0.5
Csf1	0.0705531215116807	2.61117068321344	1	0.833	0	0.833
2610008E11Rik	0.070604249947706	-2.21064440168109	1	0.333	0.75	0.417
Ms4a7	0.0711341560696806	-1.95995832504101	1	0.333	1	0.667
Mgat5	0.0711825398768495	0.531467723869509	1	0.833	0.75	0.083
5031439G07Rik	0.0721598616529101	-1.4542180735449	1	0.833	0.75	0.083
Pid1	0.0731691540251014	-0.536689406135722	1	1	1	0
Lrch3	0.0733634716547158	1.76045936562188	1	1	0.75	0.25
Itga9	0.0737102318736919	-1.62248043590157	1	0.667	1	0.333
Mrc1	0.0738056690528969	-2.33111756125366	1	0.667	1	0.333
Smg7	0.0742987059693472	2.6520208795566	1	0.833	0	0.833
Dip2c	0.0753344564981326	-1.88414151138723	1	0.667	1	0.333
Rnf214	0.0754666461674612	-1.81854835630028	1	0.667	0.5	0.167
Evl	0.075522150832475	1.6152095541519	1	0.833	0.5	0.333
N4bp1	0.0756891332974587	-0.931032362669278	1	0.833	1	0.167
Apbb2	0.0761465251484981	0.579335100850994	1	1	1	0
Pros1	0.0763392357163935	1.18145072222758	1	0.833	0.75	0.083
9930021J03Rik	0.0768546905099211	-1.58453222080639	1	0.5	1	0.5
Rnf20	0.0769675516203997	-2.00466381506106	1	0.333	0.5	0.167
Cdk6	0.0770406395331145	-1.75602122683981	1	0.833	1	0.167
Rai14	0.0774616402056898	2.55082089964312	1	0.833	0	0.833
Dpy19l1	0.0777198790890673	-1.98015337581784	1	0.5	0.75	0.25
Pitpnc1	0.0779380875089397	0.697553694807506	1	1	1	0
Gsap	0.07821724149212	1.90190197558842	1	1	0.75	0.25
Hectd1	0.0782282124109028	1.7527084980899	1	0.833	0.5	0.333
Dstyk	0.0782804441318104	-2.02714696907956	1	0.5	1	0.5
Ppp1cb	0.0783418023817151	-1.22999857165061	1	0.833	0.75	0.083
Nfkbiz	0.0796078874348897	2.52387979649308	1	0.833	0	0.833
Psd3	0.0796661220095725	-2.17134967630283	1	0.833	0.75	0.083
Clcn5	0.080350173334268	-1.42509860988594	1	0.667	0.75	0.083
Ptk2b	0.0803782381722914	1.71840600764596	1	0.833	0.5	0.333
Wsb1	0.0807064951105845	1.35735888126743	1	0.833	0.75	0.083
Wdfy1	0.0818826476695697	0.974306771783934	1	1	0.25	0.75
Rassf2	0.0823140158174804	-1.86553413483328	1	0.833	1	0.167
Nlk	0.082386396760147	-0.938895970629541	1	0.833	0.75	0.083
Ranbp9	0.0824978098937956	2.82291533077011	1	1	0.25	0.75
Pign	0.0830714443792186	2.07226466639142	1	0.833	0.25	0.583
Slc36a1	0.0832861950804646	1.74564031783991	1	0.833	0.25	0.583
Appbp2	0.0841766106096403	-2.17752496398317	1	0.5	1	0.5
Ttll7	0.0846115938925679	-2.50119717778646	1	0.5	0.75	0.25
Zc3hav1	0.0848622521739971	2.12030298790249	1	0.833	0.25	0.583
Gpr34	0.0864965341174983	-1.17897593098845	1	0.833	1	0.167
Camk1d	0.0874474601448226	0.908495621108774	1	1	0.75	0.25
Ddi2	0.0874483469203037	1.46983989967868	1	1	1	0
Basp1	0.0877391716798812	1.48350137889598	1	0.833	0.5	0.333
Ppip5k2	0.0883104722354867	-2.07853007567831	1	0.667	1	0.333
Afap1l1	0.0884695688168082	-1.60334591796097	1	0.667	0.75	0.083
Mdga2	0.088684722622349	-2.01508993159627	1	0.5	0.25	0.25
Nr3c2	0.0889235125728316	-0.625162904863558	1	1	1	0
Bicral	0.0890977279688368	-1.39159261472806	1	0.667	0.75	0.083
Anapc11	0.0892467075695763	-2.40273063620197	1	0.333	0.75	0.417
Pltp	0.0893964324376717	-2.51919651624123	1	0.333	0.75	0.417
Saraf	0.0900401653801924	-2.13231790156804	1	0.5	0.5	0
Pten	0.0904128650465093	-1.12708904201341	1	0.833	1	0.167
Il10rb	0.0905853454799747	-1.58975615424057	1	0.833	1	0.167
Trim30d	0.0907380642555231	1.85188081734786	1	1	0.75	0.25
Stag2	0.0912375188891061	-0.572277782503141	1	1	1	0
Birc6	0.0916477089963618	-0.539450501747974	1	1	1	0
Ctsd	0.0917336183327376	0.915578474887033	1	0.833	0.75	0.083
Rasgrp3	0.0919991718961081	-0.783775519565273	1	0.833	1	0.167
Rap1a	0.0920451147910023	-0.890861490915761	1	0.833	1	0.167
Gna13	0.0922791525540297	0.899226924757037	1	1	0.5	0.5
Hnmt	0.0923673434782668	-2.85286549558972	1	0.167	0.5	0.333
Ubxn4	0.0930491540501201	-1.36099769561432	1	0.833	1	0.167
Oasl2	0.0933378340078317	2.4561163944578	1	0.833	0	0.833
Abcb10	0.0936438261402401	-3.27806172004749	1	0.167	0.5	0.333
Dock6	0.0936438261402401	-3.27806172004749	1	0.167	0.5	0.333
Bcas3	0.0942426584860065	-1.08512589662393	1	0.833	1	0.167
Ppp6r1	0.0943889309663607	3.23152981713495	1	0.833	0	0.833
Pafah1b1	0.0947194997848666	-0.726510511515531	1	1	1	0
Plekha1	0.0950409918393825	-1.68565418870675	1	0.833	0.75	0.083
Rps6ka3	0.0963982415575573	0.836728219341948	1	0.833	0.5	0.333
Ptn	0.0966882864536344	-2.38468878427426	1	0.333	0.5	0.167
Rbm27	0.0967712556467793	-0.702538599297238	1	0.5	0.75	0.25
Terf1	0.0967791927115444	-0.162521377937844	1	0.833	0.5	0.333
Fbxw4	0.0970215984504837	1.89651812911532	1	0.833	0.25	0.583
Tcf12	0.0970602539578143	-0.565537311854275	1	1	1	0
Gatm	0.0973272191178693	3.19919730476611	1	1	0	1
Cd34	0.0979738506297495	2.47958306677315	1	0.833	0	0.833
C87436	0.098422509826093	3.07275585599965	1	1	0	1
Drg1	0.0984491017326935	-1.9032902968458	1	0.833	1	0.167
Rbm39	0.099838943011804	-0.463878497268183	1	1	1	0
Fktn	0.0999430774829081	-3.31635217494009	1	0.167	0.5	0.333
Septin7	0.100086779068926	-1.22652096412836	1	0.833	0.75	0.083
Dock1	0.100434216296848	-0.514554346570951	1	1	0.75	0.25
Wdr33	0.100547439063674	-1.7035677169309	1	0.667	1	0.333
Esf1	0.101401173986806	-1.9124965698311	1	0.833	1	0.167
Cd209f	0.101867570673091	-2.99044379138558	1	0	0.75	0.75
Dmtf1	0.101876432323549	0.501180314424177	1	0.833	0.5	0.333
Cadm1	0.10196719719147	1.5061733496682	1	0.833	0.5	0.333
Setbp1	0.102104869369785	-3.39238181618716	1	0	0.5	0.5
Pds5b	0.102783289726438	-1.3423734906015	1	0.667	0.75	0.083
Sgce	0.102972442317762	-1.76761655475263	1	0.5	0.75	0.25
Usp34	0.103059056456583	-1.05380463238767	1	0.833	1	0.167
Sp1	0.103172122509969	-1.7625686868194	1	0.5	0.75	0.25
Mat2a	0.103422124980195	-1.92304756586063	1	0.5	0.5	0
Vac14	0.103449499663929	3.11112058232364	1	0.833	0	0.833
Tbc1d8	0.103595962242694	2.40978813712866	1	1	0.5	0.5
Matr3	0.103978517525182	-1.37528038538677	1	0.833	1	0.167
Peak1	0.104212364769481	-0.850794760338611	1	1	1	0
Wdr37	0.105029310115816	1.63909823502484	1	0.833	0.25	0.583
Camkmt	0.105083182456354	-1.40677438376803	1	0.667	0.75	0.083
Erp44	0.105420511345225	-2.2280832588313	1	0.667	0.75	0.083
Inpp5d	0.105755799698578	0.678006779242979	1	1	1	0
Csf2ra	0.105847113655688	2.53765184767498	1	0.667	0	0.667
Tfdp2	0.106069789079753	-2.0206431641703	1	0.333	0.5	0.167
Erbin	0.106378696105613	-0.39836267416014	1	1	1	0
Zfp992	0.106476650120654	-1.71028553565547	1	0.833	0.75	0.083
Fes	0.107283137704446	2.3276871133055	1	1	0.25	0.75
Vps8	0.107346416884102	-1.49490216402668	1	0.833	1	0.167
Hdac5	0.107890074235574	-2.80689877994192	1	0.5	0.75	0.25
Crem	0.108329032855936	-2.16605051727602	1	0.667	0.75	0.083
Crebrf	0.108500122046687	-1.3589379139492	1	0.667	1	0.333
Fbxl17	0.109033689158655	0.618380573053873	1	1	1	0
Dnajc1	0.10917431884402	1.02955245392238	1	1	1	0
Fam234a	0.109752771563024	-2.18892794312037	1	0.5	0.75	0.25
Cfap97	0.110296835690853	2.37302092278698	1	0.833	0	0.833
Ppp4r3a	0.11047442236811	1.53136067553285	1	0.833	0.25	0.583
Chordc1	0.111002304862694	-2.35796887755876	1	0.333	0.75	0.417
Oxr1	0.112299515423007	1.95229075391609	1	0.833	0.25	0.583
Scfd2	0.113015859922714	-1.46162735565266	1	0.667	0.5	0.167
Coro1a	0.113082730996268	2.06402802481616	1	0.833	0.25	0.583
Fbxl5	0.113677855475259	-1.86854194744574	1	0.5	0.5	0
Atp6v1c1	0.113798455384468	2.43661840276534	1	0.667	0	0.667
Ank	0.114742821695605	1.94929110331644	1	1	0.75	0.25
Sash1	0.115478858303205	-4.05157270643645	1	0.167	0.5	0.333
R3hdm2	0.116135067975284	2.01679240950422	1	1	0.5	0.5
Cyb5r4	0.116582929092136	-1.64132635146917	1	0.667	0.75	0.083
Pms1	0.1174808091272	-3.20351927873864	1	0.167	0.75	0.583
H3f3a	0.11774506830895	-0.931216912703183	1	1	1	0
Ino80d	0.118261948711369	-1.13532882652504	1	0.833	1	0.167
Rnf213	0.118914769816146	1.21587045088863	1	0.833	0.5	0.333
Zfp62	0.119353402026061	-1.78416484511393	1	0.5	0.75	0.25
Gpcpd1	0.120031492114416	-1.59380923846947	1	0.667	0.75	0.083
Prune2	0.120198359748959	2.52840129143419	1	0.667	0	0.667
Dnm3	0.120286972137339	-1.88389475259177	1	0.333	0.5	0.167
Myo5a	0.120816375366776	-0.351143664250419	1	0.833	0.75	0.083
Suclg2	0.121594564620971	1.17630220303892	1	0.833	0.75	0.083
Ddx31	0.121634750285202	2.36899897500252	1	0.667	0	0.667
Xrn1	0.121662147838379	-1.20444804635239	1	0.833	1	0.167
Frmd4a	0.121709389640039	0.679581534468957	1	0.833	0.75	0.083
Ppp2r3a	0.121994111246418	-2.48231721037023	1	0.167	0.75	0.583
Actr8	0.122055060771914	-2.58177939072417	1	0.167	0.75	0.583
Rbm4	0.12233375907986	-1.61669762603101	1	0.5	0.75	0.25
Bach2	0.122522081931459	0.644682272728478	1	0.833	1	0.167
Nrp2	0.122528570139435	0.861897356740154	1	0.833	0.25	0.583
Tceanc2	0.122806940041018	2.37364151806469	1	0.833	0	0.833
Cops5	0.123289749897296	-1.99957915402962	1	0.667	1	0.333
Ltn1	0.123375638714851	-2.53932707219441	1	0.167	0.5	0.333
Vta1	0.123586562909548	2.12026175312276	1	1	0.25	0.75
Dennd2c	0.123688099758521	-1.63007191721415	1	0.833	0.75	0.083
Kcnab1	0.123749012887469	-2.93610360288246	1	0	0.5	0.5
Septin10	0.123861017321228	-0.607864833301057	1	0.5	1	0.5
Wdr41	0.123924140241446	-1.68467113424585	1	0.667	0.75	0.083
Rps21	0.123932488595694	-0.267567724772267	1	0.5	0.5	0
Tbc1d4	0.1239408364333	-1.46474365122942	1	0.833	1	0.167
Creb5	0.123954639623845	-1.64801352386356	1	0.833	1	0.167
Pycard	0.123964903616548	2.09914046309236	1	0.833	0.5	0.333
Plekhm2	0.124000951914154	1.01344906732385	1	0.833	0.5	0.333
Atf2	0.124551005724456	-0.327780111451808	1	0.833	0.75	0.083
Bin1	0.124571583321683	0.339943630823372	1	1	1	0
Anks6	0.124657082326037	-2.03294880118284	1	0.333	0.75	0.417
Parp9	0.124935494375686	2.05320399474501	1	0.833	0.25	0.583
Stat5b	0.125275751154448	-0.94593371014028	1	1	1	0
Sfpq	0.125383575802195	-0.728155559839427	1	0.833	0.75	0.083
Ppp4r1	0.125803802993534	1.48141835393909	1	0.833	0.5	0.333
Nfxl1	0.1258443301115	-1.33627262491659	1	0.833	1	0.167
Dnajc3	0.126731612535277	0.0353417746396059	1	0.5	0.5	0
Pip4k2a	0.127040042641639	-0.267436581457732	1	1	1	0
Adam10	0.127321736955426	1.04805868474307	1	0.833	0.75	0.083
Coro7	0.1275713526192	-1.42957810287996	1	0.833	0.75	0.083
Pik3r1	0.127645424099278	-0.442542162065508	1	1	1	0
Tmem87a	0.127734738712919	-1.40053702494928	1	0.667	1	0.333
U2surp	0.127783594709079	-1.11829795416969	1	0.833	0.75	0.083
Gna15	0.127901052735817	1.214283694188	1	0.833	0.5	0.333
Lrp1b	0.128266047866781	1.95445803251098	1	0.833	0.25	0.583
F13a1	0.128432819611804	-2.52458345908301	1	0.333	1	0.667
Fat3	0.130020730605745	2.09805024663319	1	0.667	0.25	0.417
Kmt2a	0.130102187613793	-1.31654341313183	1	0.833	0.75	0.083
Rab3gap1	0.130184661334656	-1.14473158200652	1	0.833	0.75	0.083
Sf3b3	0.130341746143453	2.04421861019099	1	0.833	0.25	0.583
Ubxn7	0.130470535426931	-0.63516561189242	1	1	1	0
Snx5	0.130884006018482	-1.10976826774183	1	0.833	1	0.167
Gpr160	0.130962050536839	-2.16023847377466	1	0.5	0.75	0.25
Irf2	0.131743705277291	1.24356589271514	1	1	0.75	0.25
Esyt2	0.131943588980468	-1.46265124436634	1	0.833	0.75	0.083
Atp5b	0.132465131128851	-2.15936209900985	1	0.167	0.75	0.583
Zc3h7a	0.132646753015199	-0.153629384701634	1	1	1	0
Crk	0.132816645857317	-1.50355477376964	1	0.667	1	0.333
Lysmd4	0.133445272297553	-0.514631540537014	1	1	1	0
Ctr9	0.133730232145148	-2.09723062063521	1	0.667	0.75	0.083
Mitf	0.134245249624851	0.408785616788216	1	1	1	0
Lrrc28	0.13441840023348	-2.19393805767085	1	0.333	1	0.667
Tra2b	0.135415301220171	1.21446462418335	1	0.833	0.5	0.333
AU040320	0.135465978105689	-1.50489765664478	1	0.833	0.75	0.083
